タイムスタンプ,お名前,メッセージ(50文字以内でお願いします),文字数
2024/10/21 21:38:26,ひかり,"丹生ちゃん卒業おめでとうございます！
これからもずっと丹生推しです。丹生ちゃんの未来が明るく幸せなものになりますように。",60
2024/10/21 22:07:26,シロナマズ,にぶちゃんの笑顔に沢山癒され、自分も笑顔になりました！にぶちゃんはまさに日向坂の象徴だと思います！にぱー！,53
2024/10/21 22:07:45,にっぱ,僕のどん底の人生に丹生ちゃんの笑顔という光をくれてありがとう！大好き！,35
2024/10/21 22:10:45,くーるちゃんぽん,いつも笑顔を絶やさない丹生ちゃんが大好きです！輝く姿から熱い気持ちが伝わってきて勇気もらってました！,50
2024/10/21 22:11:58,DO,丹生ちゃんのハッピーオーラに、笑顔に癒されました。幸せをいっぱいありがとう,37
2024/10/21 22:12:30,地方競馬師たかし,"13号ちゃん　日向坂に入ってくれて本当にありがとう
ずっと応援します。あまり無理なさらず頑張ってね",49
2024/10/21 22:12:56,ころとも,にぶちゃんお疲れさまでした！勇者にぶちゃんの冒険はまだまだ続く！これからの活躍も楽しみにしてます！,49
2024/10/21 22:13:56,ライト,"丹生ちゃん卒業おめでとう！
丹生ちゃんのおかげで日向坂を好きになって幸せな日々を送ることが出来たから感謝しかないです！ずっと応援してます！",69
2024/10/21 22:16:03,たーく,"明里ちゃん、７年間ありがとう。これまでも、これからも、ずっとずっと唯一の ""推しメン"" です。",47
2024/10/21 22:16:40,せた,"あなたの天真爛漫な笑顔が大好きでした。
けやき坂、日向坂でアイドルになってくれて本当にありがとう。",49
2024/10/21 22:16:57,もちまるこ,丹生ちゃん卒業おめでとー！いつも天真爛漫な丹生ちゃんが大好きです！たくさんの幸せをくれてありがとう！,50
2024/10/21 22:18:17,けんた,"これまで何度も丹生ちゃんの笑顔に救われました☺️
丹生ちゃんは僕にとって一番のアイドルです！",46
2024/10/21 22:19:03,いおり,これまでも！これからも！俺の心にパッとあかりを灯せるのはにぶちゃんだけ！！！ありがとう！！！,46
2024/10/21 22:20:07,いしとも,卒業おめでとう！自分の学生時代を支えてくれていたのはアイドル丹生明里でした！これからも笑顔で！,47
2024/10/21 22:21:56,はこ,丹生ちゃんのお陰で色んな方々と出会う事が出来たよ！ありがとう！これからも応援してるよ！大好きだよ！！,50
2024/10/21 22:24:08,岐阜のアッキー,"「なんて笑顔がかわいいんだ」
初めて丹生ちゃんを観た時に思いました。
卒業おめでとう。今まで沢山その笑顔に救われたよ。本当にありがとうね！
これからもその笑顔を応援します！
ファイト丹生ちゃん！",97
2024/10/21 22:24:22,かんた,"丹生ちゃんを推し始めてからの人生が間違いなく1番楽しくて幸せです！一生推します！
これからもよろしく！",51
2024/10/21 22:27:02,ゆうあ,"卒業おめでとう！
たくさんの笑顔をありがとう！！
にぶちゃんの笑顔が大好きです♡",40
2024/10/21 22:28:56,ごう,丹生ちゃんご卒業おめでとうございます。最後の最後まであかみくをよろしくね。最高の時間をありがとう！,49
2024/10/21 22:31:36,はせしゅん,"丹生ちゃん卒業おめでとう
アイドル人生お疲れ様でした
これからの丹生明里さんの人生も応援してます！！",50
2024/10/21 22:32:13,ナカムラキョウノスケ,"丹生ちゃん大好き！
にぱー‼️",15
2024/10/21 22:37:03,りくすけ,日向坂を知り、ハマるきっかけになったのがにぶにぶしい笑顔とリアクションでした！本当にありがとう！！,49
2024/10/21 22:40:17,うるし,にぶちゃん　あなたを推してて良かった。幸せな時間を分けてくれてありがとう。,37
2024/10/21 22:42:59,麻畝(まほ),丹生ちゃんの存在が日々の糧になりました。卒業後はゆっくりして次のステップの為に力を蓄えてください。,49
2024/10/21 22:44:33,おたて,丹生ちゃんにたくさんの元気、勇気、笑い、〇〇頑張れ！を貰いました。ほんとにありがとうございました！,49
2024/10/21 22:51:37,PandaPutih,Congrats on your graduation! I’ll always support you!,53
2024/10/21 23:06:12,SHOW@うどん,丹生ちゃん卒業おめでとう。今後の活躍を楽しみにしてます！！丹生ちゃんに出会えて良かった！卒業しても応募するよ！！,56
2024/10/21 23:07:05,masa,ご卒業おめでとうございます。貴女は生粋のエンターティナーとして我々に多大なる幸せをもたらしてくださりました。ありがとう！！！,62
2024/10/21 23:11:38,ふじ,ピュアな丹生ちゃんのにぱーにいつも元気を貰ってました！ずっとずっと大好きです！！,40
2024/10/21 23:13:24,マサヤ,丹生ちゃんの天真爛漫さは、皆の心を明るく照らしてくれる、まさに太陽でした。お疲れ様でした‼,45
2024/10/21 23:25:08,ダイゴ,"丹生ちゃんの笑顔が大好きです！
これからも色んな事にチャレンジした続ける丹生ちゃんを応援してます！！",50
2024/10/21 23:33:24,綾加,"丹生ちゃん
ご卒業おめでとうございます！
ずっとずっと大好きです！
これからも応援しています♡",47
2024/10/21 23:45:06,あきやん,出会ってからどの瞬間を思い出しても楽しくて幸せに溢れた時間でした！卒業おめでとう。沢山の幸せをありがとう！,53
2024/10/21 23:51:20,けいすけのほう,卒業おめでとう！ あなたの姿を見ていると、私の心の中に明かりが灯りました。この先の未来も照らして！,49
2024/10/22 0:06:50,かずよし,"にぶちゃんの笑顔に元気を貰いました
いっぱいの元気を頂きありがとうございます",38
2024/10/22 0:20:03,もちー,"虹が道しるべとなり、光溢れる輝かしい未来を歩まれてゆくと信じております。
ご卒業おめでとうございます！",51
2024/10/22 0:26:53,櫻ふぁむ,ひらがなの頃からずっと大好きでした！！！推していてずっと幸せでした！これからも丹生ちゃんらしくいてね☺️,52
2024/10/22 0:28:10,モザ,７年間のアイドル活動でもらった笑顔と元気と幸せ、まだまだ返し足りない！これからも応援します！,46
2024/10/22 0:38:15,タッキー26,丹生ちゃん推しになってから約6年経つ大学2年生です。丹生ちゃんは自分の青春そのもので、元気や勇気や感動を沢山もらいました！本当にお疲れ様でした！,72
2024/10/22 0:48:13,たかき,"にぶちゃん卒業おめでとう！！
いつでも明るい笑顔のにぶちゃんが大好きです！！一生縄跳び大魔神です！笑",50
2024/10/22 0:49:06,いっちー,"丹生ちゃんご卒業おめでとう御座います。
丹生ちゃんのハッピーオーラは永遠です。
これからもご活躍を期待して応援していきます。",62
2024/10/22 0:50:32,せぃ。,"
丹生ちゃんのハッピースマイルが大好きだよ！",22
2024/10/22 1:37:01,せい,丹生ちゃん卒業おめでとう！これからもずっと応援します！大好きです！,33
2024/10/22 1:53:30,モニカ,"To Nibu-chan who is as bright as the sun, congratulations on your graduation! May your future be bright, just like you!",119
2024/10/22 4:02:32,まっぴー,赤味噌ちゃん ご卒業おめでとうございます！！おみそしるコンビは永遠だよ、大好きです！！,43
2024/10/22 6:11:06,ありちゃん,丹生ちゃん卒業おめでとう！いっつも何かに迷った時はOne choiceを聴いて、自分の決断に自信を持つことにしています。丹生ちゃんの太陽のように明るい笑顔が大好きです！,84
2024/10/22 6:54:46,桃ちゃんまる,丹生明里さんに幸あれ！,11
2024/10/22 7:21:24,ミチコロンドン,丹生ちゃんの更なる飛躍を祈ってます🐸アイドルでいてくれてありがとう☀,35
2024/10/22 7:26:00,ましろ,丹生ちゃんの全てが大好きで出会えて幸せでした！私の人生を明るくしてくれてありがと〜！卒業おめでとう︎︎☺︎,53
2024/10/22 7:29:25,えまにえる,"にぶちゃんの元気溢れる笑顔を見ているとたくさんの笑顔になれ、その笑顔が元気の源で活力です！
卒業しても一生最高で最強の推しです！",64
2024/10/22 7:48:48,コウイチ,卒業おめでとう✨これからもハッピーオーラをみんなに届けてください、ずっと大好きです！,42
2024/10/22 8:05:08,しかまろ,"丹生ちゃんアイドルでいてくれてありがとう！あなたに出会えて幸せです。
大好き！卒業しても応援するね！",50
2024/10/22 8:20:55,ぶーほり,日向坂46のデビュー時から今までも、これからもずっと自慢の推しです。丹生ちゃん大好き！,43
2024/10/22 8:27:28,朋美,丹生ちゃんからたくさんの素敵なものを頂けました！アイドルになってくれてありがとう！,41
2024/10/22 8:46:30,てんぶ〜,にぶちゃんのおかげで、ずっっっと元気もらえてました。にぶちゃんの笑顔は宇宙一！！,40
2024/10/22 9:22:02,しと,全然気にしないフリをしても、結局丹生ちゃんのことだけ見てました。,32
2024/10/22 9:52:33,まなちゃん！,丹生ちゃんの笑顔が癒しでした！おつかれさま！,22
2024/10/22 10:55:41,トマTOマト,にぶちゃんの笑顔が僕の笑顔の源です。これからもずーっと応援してます。にぶちゃんのことが大好きです！,49
2024/10/22 11:05:59,ぺんや,ありがとう、これからも応援してます,17
2024/10/22 11:58:17,ひな,"にぶちゃんご卒業おめでとうございます！
実は過去ににぶちゃんのお姿で救われたことがあります。写真集のヘルシーなお腹を見て衝撃を受けまして、結婚式前だった私は冷蔵庫に写真を貼らせて頂き、ダイエットに励むことが出来ました。一生の思い出を自分の満足のいく姿で迎えることが出来たのはにぶちゃんあっての事です。本当に感謝です!!
にぶちゃんの素敵な性格、お姿はこのようにたくさんの人を救っています。どこにいても、なにをしててもにぶちゃんはどこでも光のある方です。これからも素敵な人生を送ってください!!",246
2024/10/22 12:32:36,とりこ,丹生ちゃんがいたから日向坂の事をたくさん好きになれました！いつも素敵な笑顔でいてくれてありがとう！！,50
2024/10/22 13:08:04,Tomorrowも、ともろう,丹生ちゃんを推してるの最高に幸せでした！ありがとう！！！,28
2024/10/22 14:02:24,ともなり,丹生ちゃんの笑顔が好きで、僕は日向坂を好きになりました。本当にありがとう！卒業後も応援してます！,48
2024/10/22 15:25:55,ほゎ,にぶちゃんとお話するのは叶わなかったけど、6年間応援できて幸せでした！卒業おめでとう！だいすき！,48
2024/10/22 15:43:48,まじゃめたる,丹生ちゃんが居たから日向坂を応援するのが楽しかった！これからもずっとずっと応援させてくださいね( *ᴗˬᴗ)⁾⁾,56
2024/10/22 17:37:08,門脇周平,"にぶちゃんがきっかけで日向坂を本格的に好きになってライブに行けるようになりました！！
これだけ本気になれたのは、にぶちゃんのおかげだよ^ ^卒業しても応援してるからね！",84
2024/10/22 18:17:40,ふんふん,にぶちゃん今までアイドルお疲れさま！にぶちゃんの笑顔にたくさん救われました。にぶちゃん推しててよかった〜にぶちゃんアイドルになってくれて本当にありがとう！,77
2024/10/22 19:40:31,藤森太一,丹生ちゃんはいつもニコニコな笑顔で日向坂46を明るくしてくれてありがとうございました！,43
2024/10/22 19:47:04,ぺーーーさん,"にぶちゃんに出会えたこと大切な宝物です！！
これからの人生に幸あれ♡にぱーっ！！",40
2024/10/22 19:55:45,ふぇると,"丹生ちゃん卒業おめでとう！
最後の瞬間まで思う存分アイドルを楽しんでね🧡",37
2024/10/22 20:02:17,目から鱗滝,"にぶちゃんへ

これまでたくさんの幸せをありがとうございました！！卒業は寂しいけど次のステップへ進むにぶちゃんをこれからも応援し続けます！これからも溢れ出すハッピーオーラでたくさんの人を笑顔にしてください！！",104
2024/10/22 20:09:30,へっぽこジョー太郎,にぶちゃん卒業おめでとう！休業して戻ってきてくれた時は涙出た！卒業してもにぶちゃんのこと大好きだよ！,50
2024/10/22 20:54:08,あい,どんな時も笑顔で元気付けてくれるにぶちゃんはハッピーオーラそのものでした。今までたくさんの幸せを届けてくれて本当にありがとう！,63
2024/10/22 21:12:49,しょうへい,丹生ちゃんのおかげで頑張れたこと、乗り越えられたことがたくさんあります。幸せにしてくれてありがとう！,50
2024/10/22 22:15:30,はな,いつも丹生ちゃんのにぱっと明るい太陽のような笑顔に元気をもらっていました。いつも励まされ再び頑張れました。アイドル丹生明里ずっと大好きです！ありがとう！,76
2024/10/22 23:02:23,にげ,丹生さんのことがずっと、す、すっ、す_______________。,34
2024/10/22 23:18:26,セイシン,卒業おめでとう！にぶちゃんの笑顔が大好き！これからもいっぱい笑顔でいようね。,38
2024/10/23 16:13:15,ののん,こんなにも長く1人の人を応援し続けたのは初めてでした。ずっとずっとにぶちゃんが大好きです！！,46
